mh,clasificador,metric,value
WOA,KNN,f1-score,0.3703703703703703
WOA,KNN,presicion,0.5853658536585366
WOA,KNN,recall,0.4660194174757281
WOA,KNN,f1-score,0.518918918918919
WOA,KNN,presicion,0.68
WOA,KNN,recall,0.4951456310679611
WOA,KNN,f1-score,0.5730337078651685
WOA,KNN,presicion,0.6987951807228916
WOA,KNN,recall,0.5631067961165048
WOA,KNN,f1-score,0.6236559139784946
WOA,KNN,presicion,0.6363636363636364
WOA,KNN,recall,0.4077669902912621
WOA,KNN,f1-score,0.4970414201183432
WOA,KNN,presicion,0.6463414634146342
WOA,KNN,recall,0.5145631067961165
WOA,KNN,f1-score,0.572972972972973
WOA,KNN,presicion,0.6233766233766234
WOA,KNN,recall,0.4660194174757281
WOA,KNN,f1-score,0.5333333333333333
WOA,KNN,presicion,0.3728813559322034
WOA,KNN,recall,0.6407766990291263
WOA,KNN,f1-score,0.4714285714285714
WOA,KNN,presicion,0.3728813559322034
WOA,KNN,recall,0.6407766990291263
WOA,KNN,f1-score,0.4714285714285714
WOA,KNN,presicion,0.589041095890411
WOA,KNN,recall,0.4174757281553398
WOA,KNN,f1-score,0.4886363636363636
WOA,KNN,presicion,0.0
WOA,KNN,recall,0.0
WOA,KNN,f1-score,0.0
WOA,KNN,presicion,0.7
WOA,KNN,recall,0.4757281553398058
WOA,KNN,f1-score,0.5664739884393064
WOA,KNN,presicion,0.3728813559322034
WOA,KNN,recall,0.6407766990291263
WOA,KNN,f1-score,0.4714285714285714
WOA,KNN,presicion,0.7157894736842105
WOA,KNN,recall,0.6601941747572816
WOA,KNN,f1-score,0.6868686868686869
WOA,KNN,presicion,0.5
WOA,KNN,recall,0.3106796116504854
WOA,KNN,f1-score,0.3832335329341317
WOA,KNN,presicion,0.5757575757575758
WOA,KNN,recall,0.3689320388349514
WOA,KNN,f1-score,0.4497041420118343
WOA,KNN,presicion,0.5952380952380952
WOA,KNN,recall,0.4854368932038835
WOA,KNN,f1-score,0.5347593582887701
WOA,KNN,presicion,0.6153846153846154
WOA,KNN,recall,0.4660194174757281
WOA,KNN,f1-score,0.5303867403314917
WOA,KNN,presicion,0.625
WOA,KNN,recall,0.3883495145631068
WOA,KNN,f1-score,0.4790419161676646
WOA,KNN,presicion,0.8024691358024691
WOA,KNN,recall,0.6310679611650486
WOA,KNN,f1-score,0.7065217391304348
WOA,KNN,presicion,0.5625
WOA,KNN,recall,0.3495145631067961
WOA,KNN,f1-score,0.4311377245508982
WOA,KNN,presicion,0.3728813559322034
WOA,KNN,recall,0.6407766990291263
WOA,KNN,f1-score,0.4714285714285714
WOA,KNN,presicion,0.8488372093023255
WOA,KNN,recall,0.7087378640776699
WOA,KNN,f1-score,0.7724867724867724
WOA,KNN,presicion,0.5833333333333334
WOA,KNN,recall,0.4077669902912621
WOA,KNN,f1-score,0.48
WOA,KNN,presicion,0.8227848101265823
WOA,KNN,recall,0.6310679611650486
WOA,KNN,f1-score,0.7142857142857143
WOA,KNN,presicion,0.618421052631579
WOA,KNN,recall,0.4563106796116505
WOA,KNN,f1-score,0.5251396648044693
WOA,KNN,presicion,0.547945205479452
WOA,KNN,recall,0.3883495145631068
WOA,KNN,f1-score,0.4545454545454545
WOA,KNN,presicion,0.6056338028169014
WOA,KNN,recall,0.4174757281553398
