mh,clasificador,metric,value
PSO,RandomForest,presicion,0.9705822142155256
PSO,RandomForest,recall,0.8968727159719385
PSO,RandomForest,f1-score,0.9301762056111804
PSO,RandomForest,presicion,0.9686987156335344
PSO,RandomForest,recall,0.92570254545036
PSO,RandomForest,f1-score,0.946024509094418
PSO,RandomForest,presicion,0.9590580517140138
PSO,RandomForest,recall,0.8914255788122767
PSO,RandomForest,f1-score,0.9221859959633596
PSO,RandomForest,presicion,0.986926898858717
PSO,RandomForest,recall,0.9557179113840276
PSO,RandomForest,f1-score,0.9707350713936438
PSO,RandomForest,presicion,0.9913826423606492
PSO,RandomForest,recall,0.9463055576337612
PSO,RandomForest,f1-score,0.9676147054566508
PSO,RandomForest,presicion,0.986926898858717
PSO,RandomForest,recall,0.9557179113840276
PSO,RandomForest,f1-score,0.9707350713936438
PSO,RandomForest,presicion,0.9832209555821032
PSO,RandomForest,recall,0.912028590995678
PSO,RandomForest,f1-score,0.944418568545257
PSO,RandomForest,presicion,0.965528160223114
PSO,RandomForest,recall,0.939969268132665
PSO,RandomForest,f1-score,0.9523372781065088
PSO,RandomForest,presicion,0.966325162330156
PSO,RandomForest,recall,0.9062850697222048
PSO,RandomForest,f1-score,0.9339580873671782
PSO,RandomForest,presicion,0.9910316484867108
PSO,RandomForest,recall,0.9414511887017224
PSO,RandomForest,f1-score,0.9647464303298868
PSO,RandomForest,presicion,0.977666648862301
PSO,RandomForest,recall,0.9117322068818664
PSO,RandomForest,f1-score,0.9419279189369982
PSO,RandomForest,presicion,0.974890857085508
PSO,RandomForest,recall,0.9357076674282492
PSO,RandomForest,f1-score,0.9543402290641022
PSO,RandomForest,presicion,0.928116928116928
PSO,RandomForest,recall,0.8128665235582209
PSO,RandomForest,f1-score,0.8603259669517258
PSO,RandomForest,presicion,0.9800406789970916
PSO,RandomForest,recall,0.9360040515420608
PSO,RandomForest,f1-score,0.9568196072755344
PSO,RandomForest,presicion,0.9583674527786876
PSO,RandomForest,recall,0.8865712098802379
PSO,RandomForest,f1-score,0.9190043985089694
WOA,KNN,presicion,0.7690272797581382
WOA,KNN,recall,0.6761672642307537
WOA,KNN,f1-score,0.7112197051308072
WOA,KNN,presicion,0.7608087900656655
WOA,KNN,recall,0.7077767738445335
WOA,KNN,f1-score,0.7307254058483126
WOA,KNN,presicion,0.7331512107236926
WOA,KNN,recall,0.6370359286606315
WOA,KNN,f1-score,0.6702641787486726
WOA,KNN,presicion,0.7765822242531559
WOA,KNN,recall,0.722932648868273
WOA,KNN,f1-score,0.7463519484138041
WOA,KNN,presicion,0.8248396501457727
WOA,KNN,recall,0.7404595968025046
WOA,KNN,f1-score,0.7753469538737954
WOA,KNN,presicion,0.8362165710292842
WOA,KNN,recall,0.774143795212965
WOA,KNN,f1-score,0.8015156411377446
WOA,KNN,presicion,0.8004904028685931
WOA,KNN,recall,0.6967702764141551
WOA,KNN,f1-score,0.7360610208184797
WOA,KNN,presicion,0.8085337293653967
WOA,KNN,recall,0.7486864140975247
WOA,KNN,f1-score,0.7748517294909048
WOA,KNN,presicion,0.7956346047414349
WOA,KNN,recall,0.7244145694373305
WOA,KNN,f1-score,0.7543137254901962
WOA,KNN,presicion,0.6749713661248122
WOA,KNN,recall,0.7874897128814866
WOA,KNN,f1-score,0.7132900432900433
WOA,KNN,presicion,0.6749713661248122
WOA,KNN,recall,0.7874897128814866
WOA,KNN,f1-score,0.7132900432900433
WOA,KNN,presicion,0.7770482124763645
WOA,KNN,recall,0.6998463406633249
WOA,KNN,f1-score,0.7310984403375708
WOA,KNN,presicion,0.4712290502793296
WOA,KNN,recall,0.5
WOA,KNN,f1-score,0.4851883807880356
WOA,KNN,presicion,0.8343023255813953
WOA,KNN,recall,0.7316400112798614
WOA,KNN,f1-score,0.7722302434124915
WOA,KNN,presicion,0.6749713661248122
WOA,KNN,recall,0.7874897128814866
WOA,KNN,f1-score,0.7132900432900433
WOA,KNN,presicion,0.8475702530662941
WOA,KNN,recall,0.8220947163057303
WOA,KNN,f1-score,0.8342681695727231
WOA,KNN,presicion,0.7294322132097335
WOA,KNN,recall,0.6458555141832747
WOA,KNN,f1-score,0.6765274022713437
WOA,KNN,presicion,0.7690272797581382
WOA,KNN,recall,0.6761672642307537
WOA,KNN,f1-score,0.7112197051308072
WOA,KNN,presicion,0.7820856361301848
WOA,KNN,recall,0.7326413867323507
WOA,KNN,f1-score,0.7545591663238722
WOA,KNN,presicion,0.7916292235801582
WOA,KNN,recall,0.724118185323519
WOA,KNN,f1-score,0.7526896926135246
WOA,KNN,presicion,0.7942497103128621
WOA,KNN,recall,0.6870615385500775
WOA,KNN,f1-score,0.7267755727923
WOA,KNN,presicion,0.8901169552622644
WOA,KNN,recall,0.8107918347615404
WOA,KNN,f1-score,0.8453103395298818
WOA,KNN,presicion,0.7618409617612978
WOA,KNN,recall,0.666458526366676
WOA,KNN,f1-score,0.7016514875318218
WOA,KNN,presicion,0.6749713661248122
WOA,KNN,recall,0.7874897128814866
WOA,KNN,f1-score,0.7132900432900433
WOA,KNN,presicion,0.9156157877497544
WOA,KNN,recall,0.8505159385592855
WOA,KNN,f1-score,0.8799030736512305
WOA,KNN,presicion,0.7739134652696935
